ID,Traditional,Simplified,Pinyin,POS,Meaning,Examples,Variants
B2L02-2-01,出門,出门,chūmén,V-sep,to go out,,
B2L02-2-02,看見,看见,kànjiàn,V,to see,我一出門就看見朋友在外面等我。,
B2L02-2-03,袋子,袋子,dàizi,N,bag,,
B2L02-2-04,發現,发现,fāxiàn,Vp,"to find out, to discover",我發現他的生肖跟我一樣，都是屬牛的。,
B2L02-2-05,垃圾,垃圾,lèsè,N,"garbage, trash",我打開袋子，看見裡面都是垃圾。,
B2L02-2-06,下,下,xià,V,"to go down, to get off",,
B2L02-2-07,上,上,shàng,V,"to go up, to get on",,
B2L02-2-08,急,急,jí,Vs,to be in a hurry,上樓、下樓的時候都不要急，小心走。,
B2L02-2-09,回去,回去,huíqù,Vi,"to go back, to return",山本良介要從台北車站搭捷運回去。,
B2L02-2-10,空氣,空气,kōngqì,N,air,合歡山山上的空氣很好，風景也不錯。,
B2L02-2-11,味道,味道,wèidào,N,"smell, taste (M: 種,股gǔ)",這家餐廳的菜，味道都很好。,
B2L02-2-12,臭,臭,chòu,Vs,stinky,,
B2L02-2-13,到處,到处,dàochù,Adv,everywhere,這個地方到處都有垃圾，又髒又臭，誰要住在這裡呢？,
B2L02-2-14,蟲子,虫子,chóngzi,N,"bug, insect",夏天到了，天氣熱了，蟲子也多了。,
B2L02-2-15,全部,全部,quánbù,Det,all,他把全部的碗筷都擦乾了，可以給客人用了。,
B2L02-2-16,倒,倒,dào,V,"to take out (the garbage), to dump",我忘了倒垃圾，所以家裡很臭。客人來的時候，我們要倒茶請他們喝。,
B2L02-2-17,才,才,cái,Adv,then and only then,我得寫完作業，才可以跟你去看電影。,
B2L02-2-18,鄰居,邻居,línjū,N,neighbor,我的同學住在我家旁邊，他也是我的鄰居。,
B2L02-2-19,不用,不用,búyòng,Adv,"no need, unnecessary",住在這裡很安全，你不用擔心。,
B2L02-2-20,牆,墙,qiáng,N,"wall (M: 片,面)",,
B2L02-2-21,亂,乱,luàn,Adv,"arbitrarily, randomly",你不要亂吃東西，小心肚子疼！,
B2L02-2-22,垃圾桶,垃圾桶,lèsè tǒng,,trash can,,
B2L02-2-23,小時候,小时候,xiǎoshíhòu,,when one was a kid,,
B2L02-2-24,牆上,墙上,qiángshàng,,on the wall,,
B2L03-1-01,租,租,zū,V,to rent,我想在學校附近租房子，去學校比較方便。,
B2L03-1-02,公寓,公寓,gōngyù,N,"apartment, flat (M: 棟)",,
B2L03-1-03,房東,房东,fángdōng,N,landlord,,
B2L03-1-04,出來,出来,chūlái,Vi,to come out,,
B2L03-1-05,陪,陪,péi,V,to accompany,我可以自己回家，你不用陪我。,
B2L03-1-06,層,层,céng,M,story (building),,
B2L03-1-07,出租,出租,chūzū,V,for rent,這棟公寓有五層樓，四樓要出租。,
B2L03-1-08,上去,上去,shàngqù,Vi,go up,他住在五樓，我們上去找他吧。,
B2L03-1-09,臥室/臥房,卧室/卧房,wòshì/wòfáng,N,bedroom (M: 間),,"[[""臥室"", ""wòshì""], [""臥房"", ""wòfáng""]]"
B2L03-1-10,書桌,书桌,shūzhuō,N,desk (M: 張),,
B2L03-1-11,書架,书架,shūjià,N,bookshelf,,
B2L03-1-12,書房,书房,shūfáng,N,study room (M: 間),,
B2L03-1-13,衣櫃,衣柜,yīguì,N,"closet, wardrobe",,
B2L03-1-14,掛,挂,guà,V,to hang up,牆上掛著的那張畫是我爸爸畫的。,
B2L03-1-15,冰箱,冰箱,bīngxiāng,N,refrigerator,,
B2L03-1-16,洗衣機,洗衣机,xǐyījī,N,washing machine,,
B2L03-1-17,那邊,那边,nàbiān,N,there,,
B2L03-1-18,看起來,看起来,kànqǐlái,Adv,to look...,,
B2L03-1-19,起來,起来,qǐlái,Ptc,estimation marker,你的臥室看起來真漂亮！,
B2L03-1-20,便利商店,便利商店,biànlì shāngdiàn,N,convenience store (M: 家),,
B2L03-1-21,便利,便利,biànlì,Vs,convenient,這附近有捷運站和公車站，交通很便利。,
B2L03-1-22,替,替,tì,Prep,"for, substitute",我的手很疼，你能替我洗碗嗎？,
B2L03-1-23,裝,装,zhuāng,V,"to install, to set up to pack in (to a bag)",台灣的夏天很熱，所以很多人的家裡都裝了冷氣。<br>這個袋子很大，可以裝很多東西。,
B2L03-1-24,費用,费用,fèiyòng,N,"cost, fee, charge",這次去荷蘭旅行的費用很高，因為車票很貴。,
B2L03-1-25,聽起來,听起来,tīngqǐlái,Adv,to sound,你唱的這首英文歌，聽起來真好聽，可以教我嗎？,
B2L03-1-26,房租,房租,fángzū,N,rent,,
B2L03-1-27,包括,包括,bāokuò,Vst,to include,,
B2L03-1-28,水費,水费,shuǐfèi,N,water fee,,
B2L03-1-29,電費,电费,diànfèi,N,electricity fee,,
B2L03-1-30,電,电,diàn,N,electricity,這個房子的房租不包括水費、電費。,
B2L03-1-31,押金,押金,yājīn,N,security deposit,,
B2L03-1-32,討論,讨论,tǎolùn,V,to discuss,下課以後，我要跟同學討論去日月潭旅行的事情。,
B2L03-1-33,一會兒,一会儿,yìhuǐr,N,"a while, a moment",我在公車站等了一會兒，公車就來了。,
B2L03-1-34,這邊,这边,zhèbiān,N,here,請把洗衣機放在這邊，冰箱放在那邊。,
B2L03-1-35,獎學金,奖学金,jiǎngxuéjīn,N,scholarship,,
B2L03-1-36,剩,剩,shèng,V,"to remain, to be left",付了房租以後，你這個月的獎學金還剩多少？<br>弟弟把菜都吃完了，什麼都沒剩。,
B2L03-1-37,滿意,满意,mǎnyì,Vst,satisfied,老師很滿意大家這次期中考的成績。<br>這次期中考，大家都考得很好，老師覺得很滿意。,
B2L03-1-38,留學生,留学生,liúxuéshēng,N,international student,,
B2L03-1-39,留學,留学,liúxué,Vi,to study abroad,我打算明年到美國去留學。,
B2L03-1-40,好幾,好几,hǎojǐ,Det,"several, quite a few",他去了好幾家便利商店，可是都沒有他要買的東西。,
B2L03-1-41,願意,愿意,yuànyì,Vaux,to be willing to,那家工廠的工作很辛苦，可是錢很多，所以很多人願意做。,
B2L03-1-42,簽約,签约,qiānyuē,V-sep,to sign a lease/contract,我下禮拜要跟房東簽約，你可以陪我去嗎？,
B2L03-1-43,過來,过来,guòlái,Vi,to come over,,
B2L03-1-44,過去,过去,guòqù,Vi,to go over,便利商店不遠，從我家過去只要五分鐘。,
B2L03-1-45,護照,护照,hùzhào,N,passport (M: 本),,
B2L03-1-46,鑰匙,钥匙,yàoshi,N,key (M: 把),,
B2L03-1-47,搬,搬,bān,V,to move,房東給了我鑰匙，明天就可以搬進去了。,
B2L03-2-01,室友,室友,shìyǒu,N,roommate,,
B2L03-2-02,總是,总是,zǒngshì,Adv,always,王先生家離公司不遠，所以他總是走路去上班。,
B2L03-2-03,半夜,半夜,bànyè,N,midnight,,
B2L03-2-04,燈,灯,dēng,N,"light, lamp (M: 盞zhǎn)",,
B2L03-2-05,吵,吵,chǎo,Vs,noisy,弟弟半夜在房間聽音樂，聲音很吵。,
B2L03-2-06,除了,除了,chúle,Prep,"in addition to, besides, aside from",,
B2L03-2-07,習慣,习惯,xíguàn,N,habit,,
B2L03-2-08,還,还,hái,Adv,in addition to,除了台北101，你還去過哪些地方？,
B2L03-2-09,弄,弄,nòng,V,to make,媽媽不在，晚飯我得自己弄。<br>弟弟把房間弄得又髒又亂，誰也不想進去。,
B2L03-2-10,順利,顺利,shùnlì,Vs,"smooth, successful",這次的旅行很順利，沒有什麼問題。,
B2L03-2-11,資料,资料,zīliào,N,information,,
B2L03-2-12,剩下,剩下,shèngxià,Vpt,"to remain, to be left",我父母這個週末都不在家，家裡只剩下我一個人。<br>我已經把衣服洗完了，剩下的家事請你做。,
B2L03-2-13,國外,国外,guówài,N,abroad,,
B2L03-2-14,生活,生活,shēnghuó,Vi,to live,到國外生活以前，得先找租房子的資料。<br>山本良介覺得在台灣生活的費用(生活費)不太高，日本的比較高。,
B2L03-2-15,收,收,shōu,Vi,"to collect, to receive",我的房東都是每個月五號來收房租的。,
B2L03-2-16,搬家,搬家,bānjiā,V-sep,"to move, to move house",山本良介來台灣以後，搬了兩次家。,
B2L03-2-17,沒想到,没想到,méixiǎngdào,,"didn't expect that, never thought",,
B2L03-2-18,租屋網站,租屋网站,zūwū wǎngzhàn,,house rental website,,
B2L04-1-01,逛,逛,guàng,V,"to go around, to wander around",,
B2L04-1-02,忽然,忽然,hūrán,Adv,suddenly,我們在逛夜市的時候，忽然下雨了。,
B2L04-1-03,小吃,小吃,xiǎochī,N,"snack, street food",,
B2L04-1-04,出口,出口,chūkǒu,N,exit,,
B2L04-1-05,剛,刚,gāng,Adv,"just now, a short while ago",我剛到台灣兩天，還不知道怎麼去郵局。,
B2L04-1-06,姓,姓,xìng,N,"surname, family name",,
B2L04-1-07,就,就,jiù,Adv,"just, exactly",A:夜市在哪裡？ B:夜市就在前面！,
B2L04-1-08,各,各,gè,Det,"each, every",夜市裡有各種小吃和飲料。,
B2L04-1-09,殺價,杀价,shājià,V-sep,"to bargain, to haggle",,
B2L04-1-10,殺,杀,shā,V,to kill,在夜市買東西的時候，有些人會跟老闆殺價。,
B2L04-1-11,招牌,招牌,zhāopái,N,"signboard, shop sign",,
B2L04-1-12,遊客,游客,yóukè,N,"tourist, visitor",,
B2L04-1-13,豆腐,豆腐,dòufǔ,N,"tofu, bean curd",,
B2L04-1-14,炸,炸,zhà/zhá,V,to deep-fry,,"[[""炸"", ""zhà""], [""炸"", ""zhá""]]"
B2L04-1-15,雞排,鸡排,jīpái,N,chicken cutlet,炸雞排是我最喜歡的小吃。,
B2L04-1-16,香,香,xiāng,Vs,"good-smelling, fragrant",媽媽做的菜，味道很香。,
B2L04-1-17,習慣,习惯,xíguàn,Vs,to be used to,他習慣睡覺以前聽一點兒音樂。,
B2L04-1-18,糖,糖,táng,N,"sugar, candy",,
B2L04-1-19,選,选,xuǎn,V,"to choose, to select",這兩件衣服都很漂亮，我不知道選哪一件比較好。,
B2L04-1-20,無,无,wú,Vs-attr,"without, -free",喝無糖的飲料比較健康。,
B2L04-1-21,加,加,jiā,V,"to add, to increase",,
B2L04-1-22,加上,加上,jiāshàng,V,plus,我的房租每個月一萬塊，加上水費、電費，差不多一萬三。,
B2L04-1-23,加起來,加起来,jiā qǐlái,Ph,to add together,這本書要一千五百塊錢，我跟他的錢加起來還不夠。,
B2L04-1-24,冰塊/冰塊兒,冰块/冰块儿,bīngkuài/bīngkuàir,N,ice cube,我的飲料不要加糖和冰塊，謝謝。,"[[""冰塊"", ""bīngkuài""], [""冰塊兒"", ""bīngkuàir""]]"
B2L04-1-25,推薦,推荐,tuījiàn,V,"to recommend, to commend",朋友推薦我去參觀這裡有名的博物館。,
B2L04-1-26,辣,辣,là,Vs,"spicy, hot (of taste)",這個菜有一點兒辣，我不愛吃。,
B2L04-1-27,酸,酸,suān,Vs,sour,,
B2L04-1-28,鹹,咸,xián,Vs,salty,,
B2L04-1-29,苦,苦,kǔ,Vs,bitter,,
B2L04-1-30,聞,闻,wén,V,to smell,你聞，那是什麼味道？,
B2L04-1-31,討厭,讨厌,tǎoyàn,Vst,"to dislike, to hate",我討厭下雨，因為出去玩很不方便。,
B2L04-1-32,其實,其实,qíshí,Adv,"in fact, actually",這個菜看起來很辣，其實不太辣。,
B2L04-1-33,試,试,shì,V,to try,我以前沒做過蛋糕，所以想試試。,
B2L04-1-34,臭豆腐,臭豆腐,chòu dòufǔ,,stinky tofu,,
B2L04-1-35,蚵仔煎,蚵仔煎,ézǐjiān,,oyster omlet,,
B2L04-1-36,特別是,特别是,tèbié shì,,especially,,
B2L04-2-01,文化,文化,wénhuà,N,culture,,
B2L04-2-02,一般,一般,yìbān,Vs,"general, ordinary, average",他比一般的孩子聰明，所以學得又快又好。,
B2L04-2-03,大概,大概,dàgài,Adv,"approximately, about",我每天早上大概六點起床。,
B2L04-2-04,吃喝玩樂,吃喝玩乐,chīhēwánlè,Vi,"(literally) to eat, drink, play and be merry, to have fun",他每天只會吃喝玩樂，什麼都不做。,
B2L04-2-05,擠,挤,jǐ,Vs,crowded,上下班的時候，捷運站有很多人，總是很擠。,
B2L04-2-06,不得了,不得了,bùdéliǎo,Vs,"extremely, incredibly",台灣的夏天熱得不得了！,
B2L04-2-07,旅遊,旅游,lǚyóu,Vi/N,"to go traveling; trip, tour",暑假出國旅遊的人很多。<br>這次的旅遊真有意思，我以後還想多去幾個地方玩。,
B2L04-2-08,越,越,yuè,Adv,more and more,最近天氣越來越熱了！,
B2L04-2-09,逛街,逛街,guàngjiē,V-sep,"to go shopping, to stroll around the streets",我常常跟朋友一起去逛街。,
B2L04-2-10,了解/瞭解,了解/了解,liǎojiě,Vst,"to know, to understand",他想多了解一點兒台灣文化，所以決定來台灣留學。,"[[""了解"", ""liǎojiě""], [""瞭解"", ""liǎojiě""]]"
B2L04-2-11,做法/作法,做法/作法,zuòfǎ,N,way of doing something,,"[[""做法"", ""zuòfǎ""], [""作法"", ""zuòfǎ""]]"
B2L04-2-12,價錢,价钱,jiàqián,N,the price,這種點心的做法很簡單，價錢也不貴。,
B2L04-2-13,起,起,qǐ,Ptc,to be able to afford,那個照相機貴得不得了，我買不起。,
B2L04-2-14,烤,烤,kǎo,V,"to roast, to barbecue, to grill",這個週末，我們要去湖邊烤肉。,
B2L04-2-15,魷魚,鱿鱼,yóuyú,N,squid,,
B2L04-2-16,芒果,芒果,mángguǒ,N,mango,,
B2L04-2-17,冰,冰,bīng,N,ice,,
B2L04-2-18,西瓜,西瓜,xīguā,N,watermelon,,
B2L04-2-19,生意,生意,shēngyì,N,business,夏天的時候，芒果冰、西瓜汁的生意好得不得了！,
B2L04-2-20,吃飽,吃饱,chībǎo,Vp,"satiate, full",,
B2L04-2-21,飽,饱,bǎo,Vs,to be full,你只買了一份雞排，吃得飽嗎？,
B2L04-2-22,無聊,无聊,wúliáo,Vs,"bored, boring",這個電視節目很無聊，我們去看電影吧！,
B2L04-2-23,講價,讲价,jiǎngjià,Vi,to bargain,媽媽有時候會跟市場的老闆講價，希望價錢能便宜一點兒。,
B2L04-2-24,寺廟,寺庙,sìmiào,N,temple (M: 座zuò),,
B2L04-2-25,比如（說）,比如（说）,bǐrú (shuō),Prep,"for example, for instance",他會說很多語言，比如說：英文、法文、德文。,"[[""比如"", ""bǐrú""], [""比如說"", ""bǐrú shuō""]]"
B2L04-2-26,廟,庙,miào,N,temple,龍山寺是台北很有名的寺廟，廟裡常常有很多外國遊客。,
B2L04-2-27,值得,值得,zhídé,Vst,"worth, worthy of",這本小說很有意思，值得推薦。<br>雖然我排隊排了一個小時才買到跨年演唱會的票，可是很值得。,
B2L04-2-28,鹹酥雞,咸酥鸡,xiánsūjī,,"salt crisp chicken, popcorn chicken",,
B2L04-2-29,滷肉飯,卤肉饭,lǔròu fàn,,braised pork on rice,,
B2L04-2-30,豆花,豆花,dòuhuā,,tofu pudding,,
B2L04-2-31,芒果冰,芒果冰,mángguǒ bīng,,mango ice,,
B2L04-2-32,龍山寺,龙山寺,Lóngshān sì,,Longshan Temple,,
B2L04-2-33,華西街,华西街,Huáxī Jiē,,Huaxi Street,,
B2L04-2-34,極了,极了,jíle,,extremely,,
B2L05-1-01,社區,社区,shèqū,N,"community, apartment complex",,
B2L05-1-02,白天,白天,báitiān,N,daytime,,
B2L05-1-03,被,被,bèi,Prep,passive voice marker,放在衣櫃裡的衣服被孩子弄亂了。,
B2L05-1-04,小偷,小偷,xiǎotōu,N,thief,,
B2L05-1-05,偷,偷,tōu,V,to steal,這個社區很安全，不用擔心小偷來偷東西。,
B2L05-1-06,負責,负责,fùzé,V/Vs,to be in charge; responsible,他是一個很負責的老師，每天都把學生寫的功課看完。,
B2L05-1-07,安全,安全,ānquán,N,"safety, security",王先生負責這個社區的安全，你有什麼問題可以問他。,
B2L05-1-08,大門,大门,dàmén,N,main gate,,
B2L05-1-09,草地,草地,cǎodì,N,"grassland, lawn (M: 片)",,
B2L05-1-10,辦,办,bàn,V,"to hold, to organize (activities)",這個星期六，我們要在社區的草地上辦活動。,
B2L05-1-11,晴天,晴天,qíngtiān,N,sunny day,,
B2L05-1-12,野餐,野餐,yěcān,Vi,picnic,,
B2L05-1-13,餐,餐,cān,N,meal,昨天我們去了一家韓國餐廳吃烤肉大餐。,
B2L05-1-14,露營,露营,lùyíng,V-sep,to camp,週末的時候，我喜歡跟朋友去野餐或是露營。,
B2L05-1-15,雲,云,yún,N,"cloud (M: 片,朵)",,
B2L05-1-16,躺,躺,tǎng,V,to lie (down),,
B2L05-1-17,星星,星星,xīngxīng,N,star (M: 顆),,
B2L05-1-18,感覺,感觉,gǎnjué,Vst,to feel,第一次約會的時候，林先生感覺(到)自己很緊張。<br>這棟公寓除了環境不錯，家具還很新，感覺住起來會很舒服。,
B2L05-1-19,輕鬆,轻松,qīngsōng,Vs,"relaxed, relaxing",林明生躺在草地上看星星，他感覺真輕鬆。,
B2L05-1-20,睡著,睡着,shuìzháo,Vp,to fall asleep,爸爸看電視，看著看著就睡著了。,
B2L05-1-21,陽光,阳光,yángguāng,N,sunlight,,
B2L05-1-22,香味,香味,xiāngwèi,N,"fragrance, aroma",我在公園散步的時候，聞到了花的香味。,
B2L05-1-23,座,座,zuò,M,measure word for sport field and ball court,,
B2L05-1-24,球場,球场,qiúchǎng,N,"sport field, ball court (M: 座)",,
B2L05-1-25,游泳池,游泳池,yóuyǒngchí,N,swimming pool (M: 座),我住的社區有一座游泳池，只要有空我就會去游泳。,
B2L05-1-26,校友,校友,xiàoyǒu,N,alumnus (M: 位),,
B2L05-1-27,只要,只要,zhǐyào,Conj,as long as,只要我有空，就去球場打球。,
B2L05-1-28,請客,请客,qǐngkè,V-sep,"to treat, to take care of the bill",今天我請客，大家要吃什麼、喝什麼，全部我付錢。,
B2L05-1-29,牛排,牛排,niúpái,N,"steak (M: 塊,份,客)",,
B2L05-1-30,紅綠燈,红绿灯,hónglǜdēng,N,traffic light,,
B2L05-2-01,幸福,幸福,xìngfú,Vs,happy (an inner satisfaction),父母都很愛我，所以我覺得幸福極了。,
B2L05-2-02,市,市,shì,N,city,台北市在台灣的北部，有很多大樓。,
B2L05-2-03,郊區,郊区,jiāoqū,N,"suburb, outskirt",,
B2L05-2-04,長大,长大,zhǎngdà,Vp,to grow up,我是在台灣長大的，當然去過夜市。,
B2L05-2-05,巴士,巴士,bāshì,N,bus,,
B2L05-2-06,還好,还好,háihǎo,Adv,"luckily, fortunately",大家都出去了，還好我帶了鑰匙。,
B2L05-2-07,班,班,bān,M,measure word for scheduled transportation,,
B2L05-2-08,要不然,要不然,yàobùrán,Conj,otherwise,我到公車站的時候，剛好有一班公車來了，要不然上班就遲到了。,
B2L05-2-09,麻煩,麻烦,máfán,Vs,"troublesome, inconvenient",搬家是一件很麻煩的事情。,
B2L05-2-10,經過,经过,jīngguò,V,to pass by,你經過便利商店的時候，可以幫我買一瓶水嗎？,
B2L05-2-11,人員,人员,rényuán,N,staff,他是這個社區的安全人員，負責大家的安全。,
B2L05-2-12,花園,花园,huāyuán,N,garden (M: 座),,
B2L05-2-13,新鮮,新鲜,xīnxiān,Vs,fresh,這家超市的水果不但很新鮮，也很便宜。,
B2L05-2-14,像,像,xiàng,Vst,like,他的眼睛像爸爸，嘴巴像媽媽。,
B2L05-2-15,書店,书店,shūdiàn,N,bookstore (M: 家),,
B2L05-2-16,停車場,停车场,tíngchēchǎng,N,parking lot (M: 座),,
B2L05-2-17,停,停,tíng,Vp/Vpt,to stop; to park,雨停了，我們可以去公園野餐了。<br>這座停車場很大，可以停五百輛汽車。,
B2L05-2-18,圓,圆,yuán,Vs,round,,
B2L05-2-19,月亮,月亮,yuèliàng,N,moon,昨天晚上的月亮又大又圓，你看到了嗎？,
B2L05-2-20,月餅,月饼,yuèbǐng,N,moon cake (M: 塊),,
B2L05-2-21,餅,饼,bǐng,N,"cake, cookie, pastry",,
B2L05-2-22,真是,真是,zhēnshì,Adv,really,這個房子又大又舒服，房租只要三千塊，真是太便宜了！,
B2L05-2-23,中秋節,中秋节,Zhōngqiū jié,Name,"Mid-Autumn Festival, Moon Festival",,
B2L05-2-24,台北市,台北市,Táiběi Shì,Name,Taipei City,,
B2L06-1-01,不同,不同,bùtóng,Vs,different,我跟妹妹的興趣不同，她喜歡出去運動，我喜歡在家聽音樂。,
B2L06-1-02,差不多,差不多,chàbùduō/chābùduō,Vs,"similar, about the same",我跟室友的個性、興趣都差不多，所以我們是好朋友。,"[[""差不多"", ""chàbùduō""], [""差不多"", ""chābùduō""]]"
B2L06-1-03,不過,不过,búguò,Conj,but,雖然工作很重要，不過身體健康更重要。,
B2L06-1-04,目的,目的,mùdì,N,purpose,王先生來台灣的目的是學中文。,
B2L06-1-05,合唱,合唱,héchàng,V,to sing together,我點的這首歌很簡單，我們一起合唱吧！,
B2L06-1-06,錯,错,cuò,Vp,"wrong, mistaken",這個字你寫錯了，請再寫一次。,
B2L06-1-07,隔壁,隔壁,gébì,N,next door,,
B2L06-1-08,跳,跳,tiào,Vi,"to dance, to jump",他們在KTV慶祝生日，又唱又跳，開心極了。,
B2L06-1-09,地板,地板,dìbǎn,N,floor,,
B2L06-1-10,動,动,dòng,Vp,"to move, to shake",隔壁的人在跳舞，我房間的地板也動了。<br>你只要身體動一動，就不覺得冷了。,
B2L06-1-11,學會,学会,xuéhuì,Vpt,to learn,昨天朋友教我的那首英文歌，我已經學會了。,
B2L06-1-12,歌曲,歌曲,gēqǔ,N,song (M: 首),,
B2L06-1-13,拿手,拿手,náshǒu,Vs,be good at,你最拿手的歌曲是哪一首？,
B2L06-1-14,歌星,歌星,gēxīng,N,singer,,
B2L06-1-15,想像,想像,xiǎngxiàng,Vst,to imagine,請你想像一下，二十年以後，你的生活會怎麼樣？,
B2L06-1-16,機器,机器,jīqì,N,machine (M: 部),,
B2L06-1-17,分數,分数,fēnshù,N,"grade, mark, score",,
B2L06-1-18,可怕,可怕,kěpà,Vs,scary,外面的風很大，聲音聽起來很可怕。,
B2L06-1-19,弄錯,弄错,nòngcuò,Vp,make a mistake; misunderstand,林小姐弄錯了約會的時間，所以遲到了半個小時。<br>我覺得「害怕」跟「可怕」的意思差不多，所以常弄錯。,
B2L06-1-20,差,差,chà/chā,Vs-pred,"bad, poor",這次考試的分數沒有我想的那麼差。,"[[""差"", ""chà""], [""差"", ""chā""]]"
B2L06-1-21,低,低,dī,Vs,low,這次考試很難，可是大家的分數都不低，好奇怪！,
B2L06-1-22,方法,方法,fāngfǎ,N,method,你知道學中文有什麼好方法嗎？,
B2L06-1-23,興奮,兴奋,xīngfèn,Vs,excited,這是我第一次搭飛機，所以覺得很興奮。,
B2L06-1-24,地,地,de,Ptc,adverb marker,我們去 KTV 開心地慶祝朋友的生日。,
B2L06-1-25,棒,棒,bàng,Vs,"great, wonderful, fantastic",這麼多好朋友來幫我過生日，真棒！,
B2L06-1-26,好好/好好兒,好好/好好儿,hǎohǎo/hǎohǎor,Adv,"to one's heart's content, do something well",我要好好(兒)地練習唱歌，去 KTV 的時候才能唱給大家聽。,"[[""好好"", ""hǎohǎo""], [""好好兒"", ""hǎohǎor""]]"
B2L06-1-27,想到,想到,xiǎngdào,Vpt,"to think of, to come into one's head",要買什麼生日禮物送給女朋友，你想到了嗎？,
B2L06-1-28,香水,香水,xiāngshuǐ,N,perfume (M: 瓶),,
B2L06-1-29,束,束,shù,M,bunch,,
B2L06-1-30,玫瑰,玫瑰,méigui/méiguī,N,rose (M: 朵),我送了一束玫瑰花給女朋友，一共有二十朵。<br>這幾朵玫瑰花好漂亮喔！,"[[""玫瑰"", ""méigui""], [""玫瑰"", ""méiguī""]]"
B2L06-1-31,別,别,bié,Adv,don't,別在教室裡吃東西！,
B2L06-1-32,罐,罐,guàn,M,can,我去便利商店買了三罐啤酒，五瓶果汁。,
B2L06-1-33,啤酒,啤酒,píjiǔ,N,"beer (M: 罐,瓶)",我去便利商店買了三罐啤酒，五瓶果汁。,
B2L06-1-34,喔,喔,ō,Ptc,a sentence final particle indicating a minder,你明天有考試，要早一點起床喔！,
B2L06-1-35,消息,消息,xiāoxí,N,news,你知道他要結婚的消息了嗎？,
B2L06-1-36,KTV,KTV,KTV,Name,karaoke bar,,
B2L06-1-37,吃到飽,吃到饱,chīdàobǎo,Name,all you can eat,,
B2L06-1-38,打分數,打分数,dǎfēnshù,Ph,score,,
B2L06-2-01,不少,不少,bùshǎo,Det,"not few, many",在台灣，不少人去KTV慶祝生日或是辦活動。,
B2L06-2-02,隨時,随时,suíshí,Adv,anytime,週末我都在家，隨時歡迎你來玩。,
B2L06-2-03,前,前,qián,N,before,,
B2L06-2-04,後,后,hòu,N,after,李先生每天晚上六點前一定要吃晚飯，八點後就什麼東西都不吃了。,
B2L06-2-05,才,才,cái,Adv,only,那個孩子才兩歲，還不會寫字。,
B2L06-2-06,假日,假日,jiàrì,N,holiday,,
B2L06-2-07,平日,平日,píngrì,N,weekday,,
B2L06-2-08,客滿,客满,kèmǎn,Vp,"full house, full up, fully occupied",那家餐廳的菜又便宜又好吃，所以假日常常客滿。,
B2L06-2-09,利用,利用,lìyòng,V,"to use, to utilize",很多大學生利用暑假去國外旅行或是學語言。,
B2L06-2-10,時,时,shí,N,when,王先生年輕時去過英國留學，所以英文說得不錯。,
B2L06-2-11,省錢,省钱,shěngqián,Vs-sep,to save money,在台北市租房子太貴了，住在郊區可以省一點兒錢。,
B2L06-2-12,特色,特色,tèsè,N,feature,旅行的目的除了看風景，還可以了解那個地方的文化特色。,
B2L06-2-13,各式各樣,各式各样,gèshìgèyàng,Vs-attr,various,台灣的夜市很有特色，除了有各式各樣的小吃，還有不少好玩的遊戲。,
B2L06-2-14,不必,不必,búbì,Vaux,"don't have to, no need to",我沒發燒，不必去看醫生，在家休息一下就好了。,
B2L06-2-15,樂器,乐器,yuèqì,N,musical instrument,,
B2L06-2-16,讓,让,ràng,Ptc,to make (someone),結婚的時候，先生送了她一棟房子，讓她開心極了。,
B2L06-2-17,生氣,生气,shēngqì,Vs-sep,angry,他常常遲到，讓老闆很生氣。<br>弟弟的房間又髒又亂，已經三個月沒打掃了，所以媽媽生他的氣。,
B2L06-2-18,傷心,伤心,shāngxīn,Vs-sep,sad,王小姐的男朋友不愛她了，真的傷了她的心。,
B2L06-2-19,哭,哭,kū,Vi,to cry,聽到那首歌，讓李小姐哭得很傷心。,
B2L06-2-20,選擇,选择,xuǎnzé,N,"choice, option",去KTV辦活動，是一個不錯的選擇。,
B2L06-2-21,卡拉OK,卡拉OK,kǎlā OK,Name,karaoke,,
B2L07-1-01,前年,前年,qiánnián,N,"the year before last year, two years ago",,
B2L07-1-02,包,包,bāo,M,"bag, package",,
B2L07-1-03,當地,当地,dāngdì,N,local,,
B2L07-1-04,名產,名产,míngchǎn,N,"local specialty, famous product",我買了幾包花蓮當地的名產，要送給台北的朋友。,
B2L07-1-05,明信片,明信片,míngxìnpiàn,N,postcard,,
B2L07-1-06,訂,订,dìng,V,"to book, to reserve",我常上網訂車票、訂旅館，又快又方便。,
B2L07-1-07,免費,免费,miǎnfèi,Vs,free (of charge),,
B2L07-1-08,無線網路,无线网路,wúxiàn wǎnglù,N,Wi-Fi,這家咖啡館有免費的無線網路，我可以邊喝咖啡邊上網。,
B2L07-1-09,美麗,美丽,měilì,Vs,beautiful,這家民宿的旁邊就是美麗的海邊，風景美極了。,
B2L07-1-10,美,美,měi,Vs,beautiful,這家民宿的旁邊就是美麗的海邊，風景美極了。,
B2L07-1-11,毛,毛,máo,M,"dime, ten cents",美國的一毛錢差不多是台灣的三塊錢。,
B2L07-1-12,讓,让,ràng,V,"to let; to permit, to allow",今天是妹妹的生日，讓我們一起去 KTV 慶祝吧。<br>弟弟還沒十八歲，爸爸不讓他喝酒。,
